"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
4,"End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,4,2,3,,,4,2,5,1,,3,Bitcoin DeFi - DePIN - Cross chain web2 friendly wallet,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,4,Somewhat familiar,"Inter-Blockchain communication (IBC), BitcoinOs and EMURGO",DEX enviroment,web2 friendly wallet,Educating DRep on what they are voting for and against,I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,"Email newsletters, Official website updates, Webinars or live streams",I think we need a KPI tool (Key Performance Indicators) that suite Cardano / the industy.,Europe,,I agree,1
4,"Developer, End user, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Expert,1,2,5,4,,,1,2,5,3,,4,Alternative node implementations,,,Unsure/I don’t know,Voting on proposals (as a DRep),1-9 hours per month,5,Somewhat familiar,"Blink Labs Go Cardano implementation, HLabs Typescript Cardano implementation, Eternl",Catalyst,"Wallet apps, node implementations, developer ecosystem",Not centralising the budget informally at Intersect and its committees,"No, and not interested or have enough time",Quarterly,Both high-level and detail,"Email newsletters, Official website updates",I'm a bit surprised that – if I understand what's currently happening correctly – the budget is already planned to allocate funds to specific projects. What I would have expected it to be is just an allocation of buckets and then every specific project would apply to the governance system as a whole and the *dReps* decide on it via the treasury spending action (if enough is left in the bucket and the project fits).,Europe,,I agree,3
5,"Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,4,3,2,1,,,1,5,3,2,,4,,,,More than 15%,Voting on proposals (as a DRep),10+ hours per month,5,Not familiar,"Education centers in different languages, engage with local and regional communities, development of grants to for the students at the educational centers",-,"Community hubs and in a transparent way, very foggy was the process, there needs to be proof of reputation  to avoid scammers","Real adoption, find a way to get people to submitt tx to the chain ","No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Webinars or live streams, All the above",Please make it more transparent and easy to track when poeple apply to grants,South America,,"I agree, I disagree (and do not want to be contacted)",5
5,"Builder (part of DApp or project), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,1,3,4,2,,,1,4,3,2,,5,"Partnerchains, Leios,Peras",,,More than 15%,All of the above,1-9 hours per month,5,Not familiar,"Partnerchains,Leios, node diversity ",,"Community projects that support many dApps (lucid evolution, Blaze, Pallas)",Not to lose community involvement in developing creative ideas for infrastructure and dapps,"Yes, one committee, working group or special interest group",Monthly,Both high-level and detail,Email newsletters,No,South America,,I agree,5
5,"Content creator / educator, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Expert,4,3,2,1,,,4,3,2,1,,5,,,,5% - 10%,All of the above,10+ hours per month,5,Very familiar,"Governance Education (Especially about CC credentials management). 
Anything that would give the opportunity to an average user to become a subject mather expect.",Projects that are already well established and that should propably at some point be self-sustainable.,"Educators and people who actively educate and share knownledge of Cardano, smart contract and everything possibly usable for developers.","Education on credential management for the Constitutional Committee to be sure to have proper and competent transaction orchestrators for CC members and to make sure everyone within futur Committee, knows how to securely manage them and use Cardano's governance features related to them.","Yes, one committee, working group or special interest group",Monthly,Both high-level and detail,All the above,"Please make sure the money management is as transparent as possible from the Treasury withdrawal, to the buckets/dev trust etc. I would highly recommend the use of a smart contract or hydra for money management in that case. Anything that can be easily trackable and followed on chain.",North America,,I agree,5
5,"Developer, Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,3,1,5,4,,,2,5,1,3,,4,Rust node as a partnerchain ,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Very familiar,Rust node,Catalyst ,"Leaders program for experts in the ecosystem,  career planing supported by MBOs ","Oversight of the Intersect as an Organization, committees don't have thresholds and can be easily took over, community has low representation at the organization and there is no financial incentives for active members","Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates","More community participation being compensate, community with fair representation at the organization ",Europe,,I disagree (and do not want to be contacted),2
3,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,2,3,1,5,,,2,3,1,5,,4,No,,,11% - 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Neutral,"Gimbalabs, Goma on-boarding program, Lidonation.",Project Catalyst ,Technical documentation and open source education ,"It important to continue building the core infrastructure of the Cardano blockchain but what happens if there is no one using it? 

So form me it is very important to make sure that adoption and marketing are challenges which the budget addresses in priority ",I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,"Email newsletters, Official website updates","Cardano is all about Decentralization and Intersect MBO is it point of centralization 

So for me it is important to make sure that all the processes and the decisions produced by Intersect are as transparent as possible so we don't have a single point of failure. Because when it comes to money (Budget, Funds, Grants etc ) then people act in a egoism way. 


Let me take on case to illustrate what I am talking about. 

The Intersect Community Hubs :

All the process about other grants are clear and reviewed by the community and those who succeed always get the funds basedon the requirementsand the milestones without any changes during the process.

So the begets issue with the community Hubs grant for me is that after being published, submitions closed and reviewed the the initial idea and process changed... Instead Local Hubs it became Regional or continental Hubs... and the process of how and who decide it  became  opac and people were putting on a waiting list etc ",Africa,,I agree,4
4,"End user, Catalyst Community Reviewer, Milestone Reviewer",2 - 5 years,Advanced,4,5,3,1,,,4,3,5,1,,2,Some AI traits,,,11% - 15%,All of the above,10+ hours per month,5,Not familiar,"DeFi Infra&Tools, RWA solutions, Scalability and Performance Improvements","NFT related projects (Anyway, the market looks like is oversaturated)","Security infra, compliance with regulations.",Sustainable development funding. Enterprise and institutional adoption. UX and accessibility. ,"Yes, one committee, working group or special interest group",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Webinars or live streams",Keep up the good work!,Europe,,I agree,2
3,End user,Over 5 years,Advanced,2,4,5,3,,,3,4,5,2,,1,cardano needs a plug-and-play payment acceptance system for small businesses,,,5% - 10%,"Voting on proposals (as a DRep), Providing feedback through surveys",10+ hours per month,2,I have not engaged,I dont know what this means. what projects?,we have enough DEXs,we have more money than problems,sentiment ,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,You cannot please everyone. so long as the direction is forwards or sideways I do not mind. ,Australia/Oceania,,I agree,1
3,"End user, On-chain governance (DRep, ICC, SPO), Community reviewer",1 - 2 years,Intermediate,1,2,3,4,,,1,2,3,4,,5,Real world applications,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Not familiar,What ia a cycle? A year?,Catalyst needs skin in the game from builders,Dunno,Remaining fiscalky balanced and not overspend,"No, but would like to",Quarterly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Official website updates",Keep a sustainable treasury,Europe,,I agree,5
5,"Developer, Builder (part of DApp or project), Community organizer, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Expert,5,4,3,2,,,5,4,3,2,,1,,,,5% - 10%,Voting on proposals (as a DRep),1-9 hours per month,5,Not familiar,IOG Research + Development; Business Development Initiative; Large-Scale Grants for existing builders + scale down Catalyst to only accomodate Innovation projects,Catalyst,Business Development,To NOT spend it all,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Social media platforms","Intersect should ask for the least amount of budget possible. The budget should not all go through Intersect but there can be several seperate withdrawal requests voted by the dReps.

Catalyst should absolutely NOT be in Intersect...",Europe,,I agree,1
4,"Developer, End user, Researcher",2 - 5 years,Intermediate,2,3,1,4,,,2,3,1,4,,5,Offline transaction,,,Unsure/I don’t know,"Voting on proposals (as a DRep), Participating in focus groups or workshops",1-9 hours per month,4,Unsure/I don’t know,Marketing initiative,Catalyst is overfunded with useless proposals,Marketing is underfunded ,The income stream to its treasury,"Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",It should be made well-known to the community ,Asia,,I agree,5
1,"End user, ",Over 5 years,Intermediate,3,2,1,5,,,4,5,1,3,,2,Accelerate Bitcoin integrations / partnerships ,,,5% - 10%,Providing feedback through surveys,Unsure/I don’t know,5,I have not engaged,"Bitcoin integrations/ partnerships
Chainlink Oracle integration
RWA integrations
","Emurgo needs to release funds to Intersect
Little return on their ADA holdings poor management and no accountability ","Bitcoin integration and partnerships 
Exchange listings
Oracles
RWA integrations/ partnerships ","Bitcoin integration
RWA integration / partnerships 
",I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",A proportion of the budget should be spent on the big ticket items like BTC  integration and the development of RWA partnerships. Emurgo need to be integrated into Intersect and funds transferred asap. They have delivered little value over time and need to be managed more effectively.,Europe,,I agree,4
5,"End user, Researcher, Content creator / educator, Community organizer, Constitutional Delegate Alternate,",2 - 5 years,Advanced,5,3,2,4,,,5,3,2,4,,1,"
I think it would be important to link to the platform https://www.theqrl.org/ since they have developed post-quantum cryptography technology and it has important development and research elements to consider for our community. Thank you",,,5% - 10%,All of the above,10+ hours per month,5,Very familiar,"The initiatives I would like to see funded in the next budget cycle: a robust governance platform, community hubs and more local and regional intersect workshops",No,Marketing and ecosystem growth,"greater adoption and usability, from education and training, not technical"," Yes, I am participating in the creation of the constitution as Constitutional Delegate Alternate",Monthly,Both high-level and detail,All the above,I believe that a process of regionalization of budgetary resources could be contemplated to generate greater balance and effectiveness,South America,,I agree,1
5,"End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc), Development partner",Over 5 years,Expert,1,3,4,2,,,1,3,4,2,,5,"Fast finality, L1 scalability, L2, ZK proof",,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Very familiar,"Fast Finality, L2, ZK proof initiatives",Governance pure from current participation,Tooling providers,"Fast finality, L1 scalability, L2 solutions, ZK proof, enterprise adoption","Yes, several",Quarterly,Both high-level and detail,"Email newsletters, Webinars or live streams",Make the progress transparent and available online,Europe,,I agree,5
4,"End user, Content creator / educator",Over 5 years,Advanced,1,3,2,4,,,1,3,2,4,,5,BTCos,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,Not familiar with current proposals,None,Marketing. Would also like to see aceleration of core architecture... babel fees etc. ,Adapt and evolve to fulfil vision of whole ecosystem. Engaging with broader crypto community. ,"Have in past, but am not currently interested.",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",None,North America,,I agree,5
5,"End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Expert,2,4,1,5,,,2,4,1,5,,3,,,,Less than 5%,All of the above,10+ hours per month,5,Not familiar,None,I have not seen the draft budget and can therefore not answer the question ,I have not seen the draft budget and can therefore not answer the question ,I have not seen the draft budget and can therefore not answer the question ,"Yes, several",Monthly,Both high-level and detail,All the above,"None, before we have seen the budget",Europe,,I agree,3
1,Entrepreneur,2 - 5 years,Intermediate,4,5,2,1,,,5,4,2,1,,3,Atala Prizm,,,5% - 10%,"All of the above, In-person events",1-9 hours per month,5,I have not engaged,"Governance, Constitution and DApp building for Startups",Unsure,Community Outreach ,Regenerize NFT communities with Marketing ,"No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Official website updates","Basic Budget Costs Format:
(Direct costs)
Personnel 
Fringe
Travel
Supplies 
Equipment 
Contractual/Vendor
Other
————————————
Total Directs
Indirects (Modified Total Direct Costs MTDC)

",North America,,I agree,3
2,"End user, On-chain governance (DRep, ICC, SPO)",2 - 5 years,Intermediate,1,4,2,5,,,1,4,2,3,,5,"Praos, Leios, Hydra",,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,4,Neutral,"Praos, Leios, Partner chain framework",,Marketing/Education focused on emerging countries adoption,"Risk of diluting efforts to support core values and long term objectives (mass adoption banking unbanked, scalability without compromising decentralization/resilience/security ...)",I would like to but unsure of how to join or participate,Bi-annually,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",nope,Europe,,I agree,3
5,End user,Over 5 years,Advanced,5,4,1,3,,,5,2,3,4,,1,Bitrefill,,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys",Unsure/I don’t know,3,I have not engaged,Was there even a first cycle?,I'm not aware of any current funding from intersect.,I'm not aware of any current funding from intersect.,"Throughput. Every time there is a tiny spike in interest and we have the opportunity to onboard new people, the chain gets unusable because of the low throughput it can actually handle.",I would like to but unsure of how to join or participate,Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",no,Europe,,I agree,2
4,End user,2 - 5 years,Intermediate,3,1,5,4,,,3,1,5,4,,2,"Not specific technologies, but broadly speaking, one of the most important things we need for the ecosystem to grow is professional market makers",,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,"Professional market makers, USDC, more forms of grants etc. (or hackathons with prizes and stuff like that) to heavily incentivize outside (!) dev teams to come into the ecosystem","Partially; Catalyst seems overfunded as of now, because a lot of the funds are suboptimally used in my opinion. However, if it can improve properly, Catalyst can be an amazing flywheel and needs the funding. ","Market makers, pulling in institutional parties (i.a. VC's), overall programs for increasing dev activity (such as grants) and liquidity. ","We need much more dev activity so that there is a much more rapid evolution of our dapp ecosystem, and we need to increase liquidity (and therewith, usage of dapps) to really get the defi flywheel going","No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates",No,Europe,,I agree,2
5,"Developer, Builder (part of DApp or project), End user, Researcher, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,4,1,2,,,5,4,1,2,,3,,,,Less than 5%,All of the above,10+ hours per month,5,Very familiar,"1. Initiatives around understanding and socializing commons governance (no major initiatives exist yet)
2. MBOs (PRAGMA, Intersect)
3. Community Grants, such as Project Catalyst",Project Catalyst is overfunded and wastes a lot of treasury resources.  It could be tightened up to focus on being an innovation grants system and let OSS maintenance and development be moved to a different project such as an MBO.,"governance support is currently a Tragedy of the Commons.  If it fails to secure the actors with the most integrity in the ecosystem, the ecosystem as a whole will lose its integrity.","Legitimacy of funding requests and the process by which they are ratified, approved and disbursed.  Legitimacy is the crisis of our age, and good will is lost quickly.  I have a fuller exploration of this challenge here https://miro.com/app/board/uXjVMXT_WA8=/?share_link_id=594379198683 along with some experimental paths forward.",I have participated in Intersect WGs in the past and will rejoin more in the future.,Quarterly,Both high-level and detail,"Email newsletters, Official website updates","We can never lose sight of the iterative, experimental nature of what we are trying to achieve with this budget process, and with self-governance, of a chain, or even of our lives.  Conservation of resources, gathering evidence and leveraging well supported and coherent hypothesis is a critical part of our long term survival and thriving.  We should see these practical principles embedded fractally in every process we develop.",North America,,I agree,3
5,"Developer, Builder (part of DApp or project), Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,1,3,4,2,,,1,3,4,2,,5,,,,Less than 5%,Participating in focus groups or workshops,Unsure/I don’t know,5,Somewhat familiar,"Alternative node implementations, essential open source projects, concrete use cases","Core components development, alternative chain indexers & irrelevant tools","Essential open source projects outside of the ""IOG realm""",Actually measuring the efficiency of the budget allocation and its impact. ,"Yes, several",Quarterly,Both high-level and detail,"Official website updates, Social media platforms",Good luck,Europe,,I agree,5
5,"Builder (part of DApp or project), End user, Researcher, Community organizer, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,3,2,4,5,,,3,2,4,5,,1,"Focus on voting systems, supply chain and Identity. ",,,11% - 15%,All of the above,10+ hours per month,5,Somewhat familiar,"Not sure specific projects, but stated what I think the focus should be on. Voting, supply chain and Identity. ","""education"" aka lip service. We don't need more people shouting the same thing into the echo chamber. And in most cases people and groups getting funding are producing cheesey cheap, low quality, low effort content. ",Real world opportunities. We keep funding projects that benefit the internal ecosystem but we haven't put much focus on outreach. Finding problems external to Cardano exclusively and building solutions. ,Same challenges we face with current treasury and government funding. People treating it as a cash grab and lining their pockets. ,"Yes, several",Monthly,"Granular detail; reports, audits, meeting minutes etc",All the above,No,North America,,I agree,1
4,"End user, Content creator / educator, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,1,4,2,3,,,1,4,2,3,,5,"Produce an analysis of all current governance structures from other chains. Producing actionable findings based on evidence and activity on mainnet. 

Urgently need a second node implementation by someone other than IOG",,,More than 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,Not familiar,"New node implementation, functioning on chain governance for parameter changes and funding for innovation/ grants ","Research and Development. No point doing the research if the engineers are not going to follow it 

I am still waiting to see ouroboros in the wild.",Second node implementation by a new dev team,Must be courageous to fund innovation while being prudent in a very volatile market. Holding some stables would make sense. ,I believe in open and transparent communication with on chain verification. I have never been a fan of committees and groups. We should embrace open source as a culture and allow anyone and everyone to participate ,Monthly,Both high-level and detail,Social media platforms,Concerns about transparency in funding allocation. ,Europe,,I disagree (and do not want to be contacted),5
4,"End user, On-chain governance (DRep, ICC, SPO), Staker",2 - 5 years,Advanced,1,2,5,3,,,1,2,5,3,,4,A decentralized communication DApp that would serve for interactions around governance (Delegator-DRep),,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,5,Neutral,Those with the higher social impact ,Events and social media content,Gaming,Greed and bad actors seeking for funds ,"No, but would like to",Monthly,Both high-level and detail,"Official website updates, Social media platforms, Webinars or live streams",No,South America,,I agree,4
5,"Builder (part of DApp or project), Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,1,4,5,2,,,1,4,3,2,,5,Stable Coin (More stable algorithm-type）,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Very familiar,"hydra, midnight, Atala",Onboarding event for people in the cryptocurrency industry,"Development of the tools and infrastructure needed for social implementation, with an eye to their use by the general public","Cardano is spending a lot of money on research and development, but it is difficult to see what it is all for. We need to think about what is necessary for social implementation from the perspective of research and development.","No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Social media platforms, Webinars or live streams, All the above","I think it is very meaningful that you have created a survey like this, rather than just listening to the voices of some Drep members.
I think it would be good if you held a meeting at each HUB to discuss the budget, and gathered the voices of various stakeholders.",Asia,,I agree,3
4,"End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Intermediate,1,2,5,4,,,1,2,5,4,,3,,,,5% - 10%,All of the above,1-9 hours per month,4,Neutral,"1. Development and Research - Strengthening Cardano's technology and research infrastructure will be our top priority.

2. Governance - Given the low delegation rate of the DRep, we need to redesign all of the UIUX of governance-related tools such as Govtool. 🙏 We need to have users with little blockchain knowledge test the operation and ensure that they can register and vote on the DRep without additional guidance 🙏

3. Governance - To address the low delegation rate of the DRep, we will design a temporary and small incentive for registering and delegating to the DRep. We will abolish the incentive when the delegation rate exceeds 50%.","Because the budget breakdown is unknown, it is impossible to determine what is excessive or what is short.

However, I have heard concerns from the community that there is a possibility that two points, Marketing and Catalyst, may be excessive.

1) The Marketing WG's budget is designed as a % of the total budget, so it is difficult to determine whether it is truly excessive without taking the total budget into account.

2) I have heard the amount of the Catalyst budget, but I do not know the basis for calculation, such as why it is that amount, so it is similarly difficult to determine whether this is excessive.","Because we don't know the breakdown of the budget, we can't tell what is excessive or insufficient.

However, looking at the current state of the governance tool UI and DRep's extremely low delegation rate, it does seem like there is a lack of budget or resources there at this moment.","While scalability and interoperability need to be addressed, addressing DRep's low delegation rate is an urgent matter.","Yes, several",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms","It might be a good decentralization approach for the Budget Committee to control the budgeting process but not the content of the budget.

But if possible, I thought it might be better if the Budget Committee could provide some leadership to ensure that the Cardano budget as a whole is as consistent as possible with the community's expectations.

Specifically, could we do the following?

1. Add the following clause to the Cardano Constitution:

- Budget principles must be approved by more than 50% of the DRep in an information governance action.
- The Cardano Budget 2025 must be created in accordance with those budget principles.

2. The Budget Committee will lead the creation and workshop of a draft budget principle, and ensure that the Cardano budget adheres to those principles.

(Budgetary principles include, for example, limits on the total Cardano budget and budgets for each committee.)",Asia,,I agree,3
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,1,3,2,4,,,1,2,3,4,,5,validations zones and Leios will enable the parallelization needed to support parallel settlements from numerous applications,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Neutral,"Validation zones, Leios, sales channel (commissionable transactions)",too much focus on governance - MVG realized is far more than MVG necessary,Sales Channel - pay commissions on revenue generated from commissionable transactions (incentivize sales efforts to position Cardano within commercial applications),we have to get transaction volume up to subsidize depleting reward reserves within 3-5 years or the ecosystem will begin to unravel ,"Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above, you have to do all of the above to reach all facets of the community",this survey should have been issued in Q2-2024,North America,,I agree,5
2,End user,1 - 2 years,Beginner,2,1,3,5,,,2,1,3,5,,4,,,,Unsure/I don’t know,Voting on proposals (as a DRep),1-9 hours per month,5,Not familiar,わかりません,わかりません,わかりません,わかりません,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Official website updates, Social media platforms",ありません,Asia,,I disagree (and do not want to be contacted),4
3,"End user, Intersect contributor (member, working group or committee etc)",Over 5 years,Intermediate,4,3,5,1,,,4,3,5,1,,2,近々に発表されたBTCとの効果的な接続を是非実用レベルで活発にトランザクションを増大させるように早期に確立して欲しい。また先行するイーサリアムとも市場を共有、または競合で匹敵に値するレベルに引き上げられるような戦略を構築して欲しい。あらゆる意味でDIDを伴うMidnightの熟成と普及は不可欠だと思われるので実用展開レベルに早期に開発を進めて欲しい。,,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",Unsure/I don’t know,5,Not familiar,Midnight，BitcoinOS，CARDANOシステム活性化に不可欠な各種TOOL開発,カタリストについてはあまりにも効果に疑問を持つもの、プロジェクト案として未熟なものが多いと感じられ、資金を充てることは否定しないが実効性を吟味する仕組みへの熟成が必要、現在まではかなり無駄な資金が投じられていると思う。,実効的なマーケティング,真に既存のエコシステムの効率や合理性の変革を実感させ早期に置換が進むような展開施策。,"No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Community forums","INTERSECT及び各委員会等の活動はまさに動き出したばかりだと思います。その意味で現時点では顕在的に見える情報も限られているし効率的になっていない部分も多いかと思います。その意味からも初期段階においては特に頻度も内容も出来るだけ多くの情報発信を望みます。後々に軌道に乗ってきた頃になれば合理的なレベルを模索できるかと思います。
また、ガバナンスは非中央集権のシステムには不可欠で当然進めていくことなのですが、プロジェクトとして世の中に浸透していくと確信できるような現実経済、仕組みに早期に成果のあがる取り組みにも注力してコミュニティの自信とモチベーションを上げ活性化して欲しいです。",Asia,,I agree,2
3,"End user, Intersect contributor (member, working group or committee etc)",Over 5 years,Intermediate,3,2,1,5,,,3,2,1,5,,4,,,,More than 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,I have not engaged,marketing　Ecosystem 　I dont know,Catalyst,marketing,marketing,I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,nothing,Asia,,I agree,4
2,End user,Over 5 years,Intermediate,2,3,1,5,,,2,3,1,5,,4,,,,Unsure/I don’t know,Voting on proposals (as a DRep),Unsure/I don’t know,4,I have not engaged,Unsure,Unsure,Unsure,Unsure,I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms",None,Asia,,I agree,4
5,"Developer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Advanced,1,3,2,4,,,2,3,1,4,,5,,,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,4,Neutral,"summit2025, marketing, real world adoption",research,adoption,not breaking up all what we achieved until today,"Yes, several",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above, ,Europe,,I agree,5
